,Numero_finess,stjr,Points_ISA,Personnel médical,Internes,Personnels de direction et administratifs,Personnels techniques et ouvriers,Autre sans internes,Autre sans direction et administratif,Autre sans techniques et ouvriers
793,690780036,1,100061.01833333336,32.27,7.59,47.69,40.87,107.63999999999999,67.53999999999999,74.36
794,690780044,1,44498.44499999999,15.879999999999999,11.7,20.26,8.04,33.769999999999996,25.209999999999997,37.43
795,690780069,1,5098.133333333334,2.25,0.0,5.52,7.34,14.77,9.25,7.43
796,690780093,1,55029.82,54.03000000000001,23.669999999999998,104.24,52.15,,,
797,690780226,2,3804.49,13.0,0.0,4.91,,,,
798,690780259,2,54726.880000000005,31.68,0.0,12.48,2.0,,,
799,690780358,2,169846.1350000001,76.59,0.0,50.7,12.2,82.50000000000001,31.8,70.30000000000001
800,690780366,2,120991.0916666667,46.5,0.0,19.8,7.5,46.900000000000006,27.1,39.400000000000006
801,690780390,2,194079.26666666672,67.58999999999999,0.0,29.96,4.51,47.85,17.89,43.34
802,690780416,3,292023.0349999999,64.46,2.7,72.48,20.34,103.38000000000001,33.6,85.74000000000001
803,690780648,2,400701.39166666666,67.85,11.01,62.54,12.13,90.69,39.16,89.57000000000001
804,690780655,2,89464.51166666669,45.22,0.0,20.7,5.6,34.18,13.48,28.580000000000002
805,690780663,2,125446.105,33.0,0.0,29.47,3.0,50.11,20.64,47.11
806,690781810,1,6259637.033333335,227.0878479020979,203.41034920634922,145.87142857142857,185.81071428571428,441.0152197802198,498.5541404151404,458.6148547008547
807,690782222,1,961518.4100000006,191.935,138.66,110.98,69.795,272.385,300.065,341.25
808,690782230,1,8416.853333333334,4.02,0.0,7.07,15.23,25.55,18.48,10.32
809,690782248,1,5098.133333333334,2.45,0.0,3.56,9.27,16.29,12.73,7.0200000000000005
810,690782271,1,131171.0133333333,36.47,27.240000000000002,44.94,25.94,95.16999999999999,77.47,96.47
811,690782925,1,42202.59999999999,20.5,18.0,50.5,75.8,133.95999999999998,101.46,76.16
812,690791082,2,6497.09,4.97,0.0,5.42,3.2,,,
813,690793468,3,616855.6283333334,107.91,0.0,61.01,11.31,,,
814,690805361,3,705140.2883333331,130.76,15.27,165.95,43.58,285.38,134.70000000000002,257.07
815,690807367,2,137421.93500000006,46.03,0.0,29.98,1.43,,,
816,700004591,1,740387.7333333333,140.89666666666665,47.0,58.80666666666667,41.68,139.30833333333334,127.50166666666667,144.62833333333333
817,700780026,1,39993.30999999999,19.66,8.790000000000001,25.4,14.68,55.61,39.0,49.72
818,700780174,2,40677.22500000002,8.0,0.0,12.91,1.0,,,
819,710006859,2,127542.80166666668,36.5,6.0,21.8,5.0,38.1,22.3,39.1
820,710780214,1,8416.853333333334,4.95,0.0,11.6,19.17,32.57,20.970000000000002,13.4
821,710780263,1,839275.513333334,144.47000000000003,160.68,112.66499999999999,139.3,338.955,386.97,360.335
822,710780644,1,442415.8183333333,57.905,33.3,51.895,53.06,130.98000000000002,112.385,111.22000000000001
823,710780917,2,169089.74166666664,46.71,15.0,32.38,9.63,50.18000000000001,32.8,55.550000000000004
824,710780958,1,990597.5433333336,176.99999999999997,162.0,236.81,177.97,502.1,427.28999999999996,486.13
825,710781089,1,5098.133333333334,4.33,0.0,6.53,8.06,15.940000000000001,9.41,7.88
826,710781360,1,10104.853333333334,4.02,3.69,10.31,20.87,32.160000000000004,25.540000000000003,14.98
827,710781410,2,59801.16000000002,11.85,0.0,14.01,7.31,,,
828,710781451,1,128045.50333333333,23.1,19.92,37.4,14.729999999999999,56.809999999999995,39.33,62.0
829,710781568,1,15550.033333333336,3.78,0.0,15.39,24.87,43.96,28.57,19.09
830,710781592,1,5098.133333333334,1.49,0.0,9.36,12.97,,,
831,710781824,2,63307.30000000002,24.0,3.0,27.58,12.04,43.75,19.169999999999998,34.709999999999994
832,710976705,1,217317.35833333328,57.83000000000001,21.240000000000002,95.49,66.7,204.07999999999998,129.83,158.62
833,710978347,3,425180.02833333326,52.26,30.0,82.83,9.06,97.02000000000001,44.19,117.96000000000001
834,720000025,1,1796868.6483333348,264.59000000000003,490.14,248.76,249.905,601.775,843.155,842.01
835,720000066,1,27034.47333333333,12.27,0.0,26.3,28.54,64.53999999999999,38.239999999999995,36.0
836,720000140,1,18898.53,9.17,0.0,29.6,45.52,86.47,56.870000000000005,40.95
837,720000199,2,251306.74499999988,36.93000000000001,0.0,32.49,41.26,85.0,52.51,43.74
838,720000231,2,44909.355,15.7,0.0,14.76,4.08,23.07,8.31,18.99
839,720000249,2,11634.486666666662,11.0,6.0,29.43,4.0,42.980000000000004,19.55,44.980000000000004
840,720000389,3,8994.733333333334,5.969999999999999,0.0,23.05,4.0,33.41,10.36,29.41
841,720006022,1,97928.72333333334,22.119999999999997,0.0,40.29,43.42,98.17,57.88,54.75
842,720016724,1,262084.12333333332,42.709999999999994,38.339999999999996,115.81,88.94,248.16,170.69,197.56
843,720017748,2,348379.6816666665,70.9,0.0,83.26,18.78,127.13000000000001,43.870000000000005,108.35000000000001
844,730000015,1,1687768.4633333343,224.62666666666664,102.87499999999999,122.4225,106.07750000000001,356.0475,336.5,352.84499999999997
845,730002839,1,380474.3633333336,56.81833333333333,16.38,36.416666666666664,26.849999999999998,77.61833333333333,57.58166666666666,67.14833333333333
846,730004298,2,218399.4216666664,75.39999999999999,0.0,49.64,28.2,84.84,35.2,56.64
847,730012499,3,121394.71000000004,17.11,0.0,15.29,6.96,,,
848,730780103,1,102841.26333333337,45.8,2.0100000000000002,57.81,41.04,116.06,60.26,77.03000000000002
