,Numero_finess,Médecins libéraux,Autres personnels médicaux libéraux,Médecins salariés,Autres personnels médicaux salariés,Personnels de direction et administratifs,Personnels des services de soins,Personnels éducatifs et sociaux,Personnels médico-techniques,Personnels techniques et ouvriers,Points_ISA,stjr,Internes,Personnel médical,Personnel médical si LIB=0.1,Personnel médical si LIB=0.9
481,450010079,16.0,30.0,0.0,2.13,40.74,222.58,,20.99,6.05,230976.89,2,3.0,48.13,11.329999999999998,84.92999999999999
482,450012968,3.5,10.0,0.0,0.0,13.8,57.37,,2.46,2.0,34990.935000000005,2,0.0,13.5,2.7,24.3
483,460006075,3.5,2.5,3.4,1.5,2.13,37.82,0.4,0.75,,3807.476666666667,2,0.0,10.9,6.1,15.7
484,460780083,0.75,2.0,19.52,8.19,21.395,110.36999999999999,1.15,9.07,37.4,193341.7233333334,1,13.11,30.46,28.259999999999998,32.660000000000004
485,460780091,0.0,0.0,3.94,10.51,21.5,136.84,1.0,7.6,20.58,39428.35333333333,1,3.0,14.45,14.45,14.45
486,460780208,0.5,0.0,15.17,2.08,32.19,158.41,0.75,14.83,19.66,68046.25833333333,1,0.24,17.75,17.35,18.15
487,460780216,6.75,4.5,77.89000000000001,29.270000000000003,68.94,330.90000000000003,3.76,53.42,47.42,457903.508333333,1,37.14,118.41000000000003,109.41000000000003,127.41000000000003
488,460780430,0.0,,0.12,,3.98,13.11,0.22,0.04,1.47,9587.173333333334,1,0.0,,,
489,470000027,25.5,17.5,5.84,0.0,67.76,413.85,0.87,7.78,37.43,348170.8966666667,2,0.0,48.84,14.44,83.24
490,470000324,0.0,0.0,35.769999999999996,17.81,81.05,435.33,4.93,50.3,97.92,194161.8533333334,1,35.64,53.58,53.58,53.58
491,470000381,0.0,0.0,4.670000000000001,30.32,95.01,658.14,64.27,5.46,85.23,12313.515,1,20.82,34.99,34.99,34.99
492,470001660,0.0,0.0,30.003333333333334,18.8,31.013333333333335,167.28666666666666,1.5466666666666669,44.33,58.62,355684.78833333333,1,29.97,48.803333333333335,48.803333333333335,48.803333333333335
493,470016049,6.0,7.5,1.0,2.0,18.5,76.8,,1.0,1.0,192635.705,3,0.0,16.5,5.7,27.299999999999997
494,470016171,0.0,0.0,78.03333333333332,31.355000000000004,41.00500000000001,222.39749999999998,3.56,27.653333333333332,43.01666666666667,655663.6083333326,1,43.351666666666674,109.38833333333332,109.38833333333332,109.38833333333332
495,480780097,3.0,4.5,25.905,25.110000000000003,34.46666666666667,148.1,4.41,18.619999999999997,22.115,240863.2683333333,1,18.0,58.515,52.515,64.515
496,480780121,6.5,0.0,0.0,0.25,1.76,23.32,,0.25,3.76,2396.45,1,0.0,6.75,1.55,11.950000000000001
497,480780154,3.0,0.0,0.55,0.46,3.49,38.54,0.18,,6.8,517.68,1,0.0,4.01,1.6099999999999999,6.409999999999999
498,480780162,3.0,0.0,0.1,0.8,7.0,46.4,1.0,1.0,11.25,5699.15,1,0.0,3.9000000000000004,1.5,6.299999999999999
499,490000031,0.0,0.0,336.15000000000003,211.23999999999998,263.18499999999995,1675.91,17.135,176.985,299.72499999999997,2541527.983333333,1,699.16,547.39,547.39,547.39
500,490000155,0.0,0.0,48.67999999999999,19.91,84.4,176.81,4.17,114.86,13.92,85981.11499999999,3,81.0,68.58999999999999,68.58999999999999,68.58999999999999
501,490000262,38.5,7.5,2.54,0.0,25.41,162.12,1.0,3.82,5.65,138581.4116666667,2,0.0,48.54,11.74,85.34
502,490000395,5.5,0.0,0.1,0.5,7.08,40.5,0.63,1.16,6.79,5098.133333333334,1,0.0,6.1,1.7000000000000002,10.5
503,490000403,1.0,0.0,1.5,1.3499999999999999,7.07,34.27,,1.41,11.99,5098.133333333334,1,0.0,3.8499999999999996,3.05,4.6499999999999995
504,490000676,0.0,1.0,102.14999999999998,62.04999999999999,218.83,1217.63,37.06,90.4,189.88,747771.7583333334,1,168.60000000000002,165.19999999999996,164.39999999999998,165.99999999999997
505,490000700,1.0,,0.34,,5.01,25.97,0.39,,5.17,5098.133333333334,3,0.0,,,
506,490002037,16.5,18.0,0.0,1.0,43.52,321.61,1.32,5.07,14.66,185646.73166666663,2,0.0,35.5,7.9,63.099999999999994
507,490004256,0.0,0.0,1.0,0.22,5.13,30.89,0.48,0.55,4.17,5098.133333333334,3,0.0,1.22,1.22,1.22
508,490007689,0.0,0.0,1.7,1.4,9.16,41.339999999999996,0.83,3.96,18.84,5098.133333333334,1,0.0,3.0999999999999996,3.0999999999999996,3.0999999999999996
509,490007929,7.0,7.5,0.0,1.0,14.4,83.07,,1.9,,95258.97500000002,2,0.0,15.5,3.9,27.1
510,490014909,49.0,33.5,2.44,2.94,66.08,511.71,1.08,10.53,38.02,328084.6866666664,2,3.75,87.88,21.880000000000003,153.88
511,490015765,3.5,0.0,1.25,1.79,9.52,31.05,1.0,3.73,18.71,5098.133333333334,1,0.0,6.54,3.74,9.34
512,490015906,25.0,12.0,0.0,0.7899999999999999,28.89,128.6,0.5,5.0,4.86,81689.77,2,6.0,37.79,8.19,67.39
513,490528452,0.0,0.0,52.81,25.58,115.45,445.2,14.06,42.53,108.88,264947.44333333324,1,77.66,78.39,78.39,78.39
514,490540440,1.5,4.0,0.0,0.0,13.24,17.01,,,,11167.480000000003,2,0.0,5.5,1.1,9.9
515,500000013,0.0,0.0,90.795,36.260000000000005,113.695,645.5749999999999,6.239999999999999,55.309999999999995,127.44500000000001,816206.1133333328,1,115.67999999999999,127.055,127.055,127.055
516,500000039,0.0,0.0,2.0,1.15,5.53,50.98,2.25,0.96,8.89,8934.533333333335,1,0.0,3.15,3.15,3.15
517,500000054,0.0,0.0,57.8,24.75,82.57000000000001,403.745,3.9850000000000003,40.43,66.10000000000001,601013.1233333334,1,67.065,82.55,82.55,82.55
